id	score	importantwordcount	intensity
20000	3.4184681945734603	2.0	3
20001	1.66360061728692	1.0	3
20002	1.9505618168911103	1.0	3
20003	1.46902274181674	1.0	3
20004	2.320253415849479	2.0	3
20005	5.420028991193355	4.0	3
20006	3.01531798934326	2.0	3
20007	3.533301856388707	3.0	3
20008	2.287118263581575	3.0	3
20009	2.287118263581575	3.0	3
20010	4.020588008895466	3.0	3
20011	3.7007283628585	2.0	3
20012	4.64536474111726	3.0	3
20013	8.101675070194041	5.0	3
20014	2.97039432695554	2.0	3
20015	2.0358387037783228	2.0	3
20016	1.75128291010178	1.0	3
20017	1.1478096490319598	1.0	3
20018	5.0563699283682	3.0	3
20019	1.66360061728692	1.0	3
20020	1.59151217882972	1.0	3
20021	4.22123987186092	3.0	3
20022	1.8230914821230901	1.0	3
20023	3.7835788386686158	3.0	3
20024	1.94944545275672	1.0	3
20025	3.553114419190485	3.0	3
20026	3.1638001151898703	2.0	3
20027	0.6208587937986569	1.0	3
20028	2.0358387037783228	2.0	3
20029	2.4881232003803353	2.0	3
20030	1.75128291010178	1.0	3
20031	1.07075419350105	1.0	3
20032	2.539591756726752	2.0	3
20033	1.8230914821230901	1.0	3
20034	2.82227325899417	2.0	3
20035	1.07075419350105	1.0	3
20036	1.1106762329583102	1.0	3
20037	5.684956610413359	5.0	3
20038	0.0	0.0	3
20039	2.274382540127021	2.0	3
20040	1.66360061728692	1.0	3
20041	3.90139905832065	2.0	3
20042	1.173878103306879	2.0	3
20043	1.75128291010178	1.0	3
20044	3.871729454816286	3.0	3
20045	1.2588064250039899	1.0	3
20046	1.54648849745577	1.0	3
20047	4.0310659731388565	3.0	3
20048	2.37900592356758	2.0	3
20049	7.068857525231547	6.0	3
20050	0.0	0.0	3
20051	3.4018799803822004	2.0	3
20052	3.4184681945734603	2.0	3
20053	1.1478096490319598	1.0	3
20054	1.59151217882972	1.0	3
20055	3.1047947828635403	2.0	3
20056	5.005839000912121	4.0	3
20057	1.1106762329583102	1.0	3
20058	1.66360061728692	1.0	3
20059	6.72221237032363	4.0	3
20060	1.94944545275672	1.0	3
20061	1.70872329568298	1.0	3
20062	5.2294555293114	3.0	3
20063	3.0566093507406595	2.0	3
20064	1.9505618168911103	1.0	3
20065	0.0	0.0	3
20066	3.54171773537062	3.0	3
20067	1.07159488291584	1.0	3
20068	2.73435481078797	2.0	3
20069	0.0	0.0	3
20070	1.6642715331121498	1.0	3
20071	0.0	0.0	3
20072	1.1410233893476	1.0	3
20073	0.0	0.0	3
20074	2.7259269101653283	3.0	3
20075	1.3685053422604099	1.0	3
20076	0.0	0.0	3
20077	0.5515668703043329	1.0	3
20078	0.0	0.0	3
20079	2.640797032476733	2.0	3
20080	1.66360061728692	1.0	3
20081	3.24096249009688	2.0	3
20082	3.9283310325108	3.0	3
20083	1.2588064250039899	1.0	3
20084	4.8062824081987205	3.0	3
20085	2.4583292496081572	2.0	3
20086	2.3283301395586817	2.0	3
20087	1.66360061728692	1.0	3
20088	1.05401201235797	1.0	3
20089	2.31281843736196	2.0	3
20090	0.5281761511893011	1.0	3
20091	3.08937225783679	2.0	3
20092	6.180984445444838	6.0	3
20093	1.2588064250039899	1.0	3
20094	1.1478096490319598	1.0	3
20095	5.135316225934925	4.0	2
20096	0.971124352552206	1.0	2
20097	1.2588064250039899	1.0	2
20098	0.971124352552206	1.0	2
20099	0.0	0.0	2
20100	1.6382960467088898	1.0	2
20101	1.6868484281878589	2.0	2
20102	1.5629587717347069	2.0	2
20103	4.835853046956803	4.0	2
20104	4.40468560959857	4.0	2
20105	1.4285008582181102	1.0	2
20106	2.97039432695554	2.0	2
20107	1.2588064250039899	1.0	2
20108	4.62684624984383	3.0	2
20109	1.2588064250039899	1.0	2
20110	1.75128291010178	1.0	2
20111	3.5316032490838296	2.0	2
20112	0.0	0.0	2
20113	0.871040893995223	1.0	2
20114	1.2588064250039899	1.0	2
20115	0.0	0.0	2
20116	1.5952786616252	1.0	2
20117	0.0	0.0	2
20118	0.0	0.0	2
20119	1.07075419350105	1.0	2
20120	1.2588064250039899	1.0	2
20121	2.229930777556196	2.0	2
20122	3.20825187776071	2.0	2
20123	2.9039865923439154	2.0	2
20124	1.9505618168911103	1.0	2
20125	3.05475578209133	2.0	2
20126	0.0	0.0	2
20127	4.378063522255944	4.0	2
20128	1.66360061728692	1.0	2
20129	2.843386361994731	3.0	2
20130	0.0	0.0	2
20131	1.66360061728692	1.0	2
20132	1.9437231064274199	1.0	2
20133	3.67422768883387	2.0	2
20134	1.239659632684047	2.0	2
20135	1.4411279817979399	1.0	2
20136	2.320253415849479	2.0	2
20137	3.1793185047331	2.0	2
20138	2.281850834734551	2.0	2
20139	0.0	0.0	2
20140	1.14730284483245	1.0	2
20141	4.619840447335181	4.0	2
20142	1.9505618168911103	1.0	2
20143	3.4417232377920057	3.0	2
20144	1.2588064250039899	1.0	2
20145	1.94944545275672	1.0	2
20146	1.1478096490319598	1.0	2
20147	0.8002508749954871	1.0	2
20148	3.1815519500537	2.0	2
20149	2.32699249039932	2.0	2
20150	1.94541763458415	1.0	2
20151	0.649040853383092	1.0	2
20152	4.54240377952417	3.0	2
20153	2.351267633312391	2.0	2
20154	1.8486246724683701	1.0	2
20155	0.6160942346868089	1.0	2
20156	3.215121400893559	3.0	2
20157	1.9505618168911103	1.0	2
20158	2.97039432695554	2.0	2
20159	3.369217230244809	3.0	2
20160	1.1478096490319598	1.0	2
20161	1.4285008582181102	1.0	2
20162	3.37568667453607	2.0	2
20163	1.70872329568298	1.0	2
20164	3.1882871747158603	2.0	2
20165	0.0	0.0	2
20166	5.793051174352263	4.0	2
20167	1.66360061728692	1.0	2
20168	1.64179867726009	1.0	2
20169	0.649040853383092	1.0	2
20170	2.559394384022932	2.0	2
20171	0.54096663185367	1.0	2
20172	5.65142726323972	4.0	2
20173	1.788533660221968	2.0	2
20174	1.87784563341021	1.0	2
20175	5.871870616622802	5.0	2
20176	1.75128291010178	1.0	2
20177	4.2400501787376506	3.0	2
20178	0.5297272352179779	1.0	2
20179	2.709863906315475	2.0	2
20180	3.02377951984331	2.0	2
20181	1.409544093813518	2.0	2
20182	1.9505618168911103	1.0	2
20183	1.9437231064274199	1.0	2
20184	1.64179867726009	1.0	2
20185	1.4285008582181102	1.0	2
20186	1.2588064250039899	1.0	2
20187	0.0	0.0	2
20188	1.9234419816004658	2.0	2
20189	1.46902274181674	1.0	2
20190	2.583509935681845	2.0	2
20191	2.5181835119305633	2.0	2
20192	2.6258729690021996	2.0	2
20193	3.27889371242029	2.0	2
20194	1.70872329568298	1.0	2
20195	6.863108313107878	5.0	2
20196	1.87784563341021	1.0	2
20197	0.0	0.0	2
20198	0.0	0.0	2
20199	1.9505618168911103	1.0	2
20200	0.7623695386900949	1.0	2
20201	1.07075419350105	1.0	2
20202	2.121116411882566	2.0	2
20203	2.747961246267054	3.0	2
20204	0.876871814306016	1.0	2
20205	1.2588064250039899	1.0	2
20206	2.5215267493291074	2.0	2
20207	3.914876785972539	3.0	2
20208	1.9505618168911103	1.0	2
20209	2.05872081774926	2.0	2
20210	1.9506749907224123	2.0	2
20211	1.4285008582181102	1.0	2
20212	0.0	0.0	1
20213	2.183200944058571	2.0	1
20214	1.66360061728692	1.0	1
20215	3.045050881631817	3.0	1
20216	0.0	0.0	1
20217	3.7765771988403687	3.0	1
20218	3.628499144935342	3.0	1
20219	1.4411279817979399	1.0	1
20220	0.0	0.0	1
20221	1.5922722826139002	2.0	1
20222	1.4285008582181102	1.0	1
20223	3.861865128290269	4.0	1
20224	1.9196063748911458	2.0	1
20225	1.2588064250039899	1.0	1
20226	6.12052307061676	4.0	1
20227	1.94541763458415	1.0	1
20228	3.5608990035268704	2.0	1
20229	2.580655402069217	2.0	1
20230	0.0	0.0	1
20231	1.8230914821230901	1.0	1
20232	3.41016889620965	2.0	1
20233	0.760418453558755	1.0	1
20234	0.0	0.0	1
20235	1.2588064250039899	1.0	1
20236	4.747117313766195	5.0	1
20237	4.254275670730008	3.0	1
20238	0.0	0.0	1
20239	1.06691541719388	1.0	1
20240	1.95195360556393	1.0	1
20241	0.0	0.0	1
20242	2.321270812072474	2.0	1
20243	1.64179867726009	1.0	1
20244	1.816166866633331	2.0	1
20245	0.788802795758251	1.0	1
20246	0.0	0.0	1
20247	0.649040853383092	1.0	1
20248	1.7838139021815649	2.0	1
20249	1.64179867726009	1.0	1
20250	0.565659244444041	1.0	1
20251	0.565659244444041	1.0	1
20252	4.496766112047837	4.0	1
20253	0.0	0.0	1
20254	3.27889371242029	2.0	1
20255	1.1478096490319598	1.0	1
20256	0.0	0.0	1
20257	3.07387682353811	2.0	1
20258	3.23707733888529	2.0	1
20259	3.17313476154377	2.0	1
20260	1.270576932567098	2.0	1
20261	0.0	0.0	1
20262	2.973923318330609	3.0	1
20263	0.0	0.0	1
20264	2.3331551770894547	2.0	1
20265	0.0	0.0	1
20266	0.0	0.0	1
20267	0.0	0.0	1
20268	0.0	0.0	1
20269	2.3640269823956768	2.0	1
20270	1.449772220006617	2.0	1
20271	0.0	0.0	1
20272	3.3037310033433807	2.0	1
20273	0.704772046906759	1.0	1
20274	1.3685053422604099	1.0	1
20275	1.5952786616252	1.0	1
20276	1.94944545275672	1.0	1
20277	0.0	0.0	1
20278	0.0	0.0	1
20279	3.89567671199135	2.0	1
20280	0.0	0.0	1
20281	0.0	0.0	1
20282	0.0	0.0	1
20283	5.95359819212829	4.0	1
20284	0.0	0.0	1
20285	1.2588064250039899	1.0	1
20286	1.14730284483245	1.0	1
20287	0.0	0.0	1
20288	3.4829374620571603	2.0	1
20289	1.9505618168911103	1.0	1
