id	score	importantwordcount	intensity
2018-en-fear-dev-1	0.7448677809949871	1.0	0
2018-en-fear-dev-2	0.0	0.0	0
2018-en-fear-dev-3	0.0	0.0	0
2018-en-fear-dev-4	0.0	0.0	0
2018-en-fear-dev-5	0.0	0.0	0
2018-en-fear-dev-6	3.222797268881762	3.0	3
2018-en-fear-dev-7	0.0	0.0	0
2018-en-fear-dev-8	2.136245293478873	2.0	2
2018-en-fear-dev-9	0.0	0.0	0
2018-en-fear-dev-10	1.8230914821230901	1.0	1
2018-en-fear-dev-11	0.0	0.0	0
2018-en-fear-dev-12	0.0	0.0	0
2018-en-fear-dev-13	1.70872329568298	1.0	1
2018-en-fear-dev-14	0.0	0.0	0
2018-en-fear-dev-15	0.0	0.0	1
2018-en-fear-dev-16	0.0	0.0	3
2018-en-fear-dev-17	0.0	0.0	0
2018-en-fear-dev-18	1.6642715331121498	1.0	0
2018-en-fear-dev-19	0.0	0.0	1
2018-en-fear-dev-20	0.0	0.0	0
2018-en-fear-dev-21	1.3197151780909802	1.0	0
2018-en-fear-dev-22	0.0	0.0	0
2018-en-fear-dev-23	0.704772046906759	1.0	1
2018-en-fear-dev-24	0.0	0.0	0
2018-en-fear-dev-25	0.8815121938625179	1.0	0
2018-en-fear-dev-26	0.0	0.0	0
2018-en-fear-dev-27	2.25240363340825	2.0	2
2018-en-fear-dev-28	0.0	0.0	0
2018-en-fear-dev-29	3.11651947978285	2.0	0
2018-en-fear-dev-30	6.87178986231269	4.0	2
2018-en-fear-dev-31	1.4251899337591682	2.0	0
2018-en-fear-dev-32	3.32720123457384	2.0	2
2018-en-fear-dev-33	2.96184986483984	2.0	3
2018-en-fear-dev-34	0.0	0.0	0
2018-en-fear-dev-35	0.0	0.0	0
2018-en-fear-dev-36	0.0	0.0	1
2018-en-fear-dev-37	0.0	0.0	0
2018-en-fear-dev-38	0.0	0.0	0
2018-en-fear-dev-39	0.9217103430761721	1.0	1
2018-en-fear-dev-40	2.2944132296825854	4.0	0
2018-en-fear-dev-41	0.0	0.0	0
2018-en-fear-dev-42	0.0	0.0	0
2018-en-fear-dev-43	1.669641362111295	2.0	0
2018-en-fear-dev-44	1.3685053422604099	1.0	2
2018-en-fear-dev-45	0.603529518499451	1.0	2
2018-en-fear-dev-46	0.0	0.0	0
2018-en-fear-dev-47	0.0	0.0	1
2018-en-fear-dev-48	0.9021314810652541	1.0	2
2018-en-fear-dev-49	0.0	0.0	0
2018-en-fear-dev-50	0.0	0.0	0
2018-en-fear-dev-51	0.0	0.0	0
2018-en-fear-dev-52	4.042684114366315	4.0	3
2018-en-fear-dev-53	0.0	0.0	0
2018-en-fear-dev-54	0.0	0.0	1
2018-en-fear-dev-55	0.0	0.0	0
2018-en-fear-dev-56	0.0	0.0	0
2018-en-fear-dev-57	0.0	0.0	0
2018-en-fear-dev-58	1.75128291010178	1.0	2
2018-en-fear-dev-59	1.6786602705642502	1.0	2
2018-en-fear-dev-60	0.0	0.0	0
2018-en-fear-dev-61	0.0	0.0	0
2018-en-fear-dev-62	1.0356628736897802	1.0	0
2018-en-fear-dev-63	0.0	0.0	0
2018-en-fear-dev-64	1.17051381785831	1.0	2
2018-en-fear-dev-65	0.9054482336912478	1.0	1
2018-en-fear-dev-66	0.0	0.0	2
